iter	Passed	Remaining
0	131	130925
1	134	66953
2	137	45585
3	139	34842
4	143	28496
5	145	24186
6	148	21097
7	151	18767
8	153	16865
9	155	15346
10	157	14180
11	159	13152
12	161	12257
13	162	11473
14	164	10783
15	165	10166
16	166	9622
17	167	9138
18	168	8705
19	169	8317
20	170	7957
21	171	7629
22	172	7343
23	173	7069
24	174	6819
25	175	6585
26	176	6365
27	177	6158
28	178	5966
29	178	5787
30	179	5620
31	180	5463
32	181	5316
33	182	5178
34	182	5044
35	183	4917
36	184	4798
37	185	4685
38	186	4584
39	187	4488
40	187	4393
41	188	4301
42	189	4212
43	189	4126
44	190	4044
45	191	3965
46	191	3889
47	192	3817
48	193	3748
49	193	3681
50	194	3616
51	195	3555
52	195	3496
53	196	3439
54	196	3384
55	197	3331
56	198	3281
57	198	3231
58	199	3184
59	200	3137
60	201	3094
61	201	3051
62	202	3010
63	203	2969
64	203	2930
65	204	2892
66	205	2855
67	205	2819
68	206	2784
69	206	2749
70	207	2717
71	208	2685
72	208	2653
73	209	2623
74	210	2593
75	210	2564
76	211	2536
77	212	2508
78	212	2481
79	213	2455
80	214	2429
81	214	2404
82	215	2378
83	215	2355
84	216	2335
85	217	2313
86	218	2291
87	219	2269
88	219	2249
89	220	2230
90	221	2211
91	222	2192
92	222	2173
93	223	2156
94	224	2138
95	225	2120
96	225	2102
97	226	2084
98	227	2066
99	227	2050
100	228	2033
101	229	2017
102	229	2001
103	230	1985
104	231	1969
105	231	1955
106	232	1941
107	233	1927
108	234	1913
109	234	1899
110	235	1885
111	236	1871
112	236	1857
113	237	1844
114	238	1831
115	238	1819
116	239	1805
117	239	1793
118	240	1780
119	241	1768
120	241	1756
121	242	1744
122	243	1732
123	243	1721
124	244	1710
125	245	1699
126	245	1688
127	246	1677
128	247	1669
129	247	1659
130	248	1648
131	249	1638
132	249	1628
133	250	1618
134	251	1609
135	251	1599
136	252	1590
137	253	1581
138	253	1572
139	254	1563
140	255	1554
141	255	1544
142	256	1535
143	256	1526
144	257	1518
145	258	1509
146	258	1501
147	259	1493
148	260	1485
149	260	1477
150	261	1470
151	262	1463
152	262	1455
153	263	1447
154	264	1440
155	264	1433
156	265	1425
157	266	1418
158	266	1411
159	267	1404
160	267	1396
161	268	1389
162	269	1382
163	269	1376
164	270	1369
165	271	1363
166	271	1356
167	272	1349
168	273	1343
169	273	1337
170	274	1331
171	275	1326
172	276	1322
173	277	1317
174	278	1312
175	279	1306
176	279	1301
177	280	1296
178	281	1291
179	282	1286
180	283	1280
181	283	1276
182	284	1270
183	285	1265
184	285	1259
185	286	1254
186	287	1248
187	287	1243
188	288	1238
189	289	1233
190	289	1227
191	290	1222
192	291	1218
193	291	1213
194	292	1208
195	293	1203
196	294	1198
197	294	1193
198	295	1188
199	295	1183
200	296	1179
201	297	1174
202	297	1169
203	298	1165
204	299	1160
205	299	1155
206	300	1151
207	301	1146
208	301	1142
209	302	1137
210	303	1133
211	303	1129
212	304	1125
213	305	1120
214	305	1116
215	306	1112
216	307	1108
217	307	1103
218	308	1099
219	309	1095
220	309	1091
221	310	1087
222	310	1083
223	311	1079
224	312	1075
225	312	1071
226	313	1068
227	314	1064
228	315	1061
229	315	1057
230	316	1053
231	317	1050
232	317	1046
233	318	1043
234	319	1039
235	320	1036
236	320	1032
237	321	1028
238	322	1025
239	322	1021
240	323	1018
241	323	1014
242	324	1011
243	325	1007
244	325	1004
245	326	1000
246	327	997
247	327	994
248	328	990
249	329	987
250	329	984
251	330	980
252	331	977
253	331	974
254	332	971
255	333	967
256	333	964
257	334	961
258	335	958
259	335	955
260	336	952
261	337	949
262	337	946
263	338	943
264	339	940
265	339	937
266	340	934
267	341	931
268	341	928
269	342	925
270	342	922
271	343	919
272	344	916
273	344	913
274	345	911
275	346	908
276	346	905
277	347	902
278	348	900
279	349	897
280	349	895
281	350	892
282	351	890
283	352	888
284	353	885
285	353	883
286	354	880
287	355	877
288	355	875
289	356	872
290	356	869
291	357	867
292	358	864
293	358	861
294	359	859
295	360	856
296	360	854
297	361	851
