iter	Passed	Remaining
0	158	157932
1	161	80781
2	165	55076
3	171	42650
4	175	34932
5	179	29669
6	184	26113
7	188	23332
8	192	21148
9	196	19452
10	200	18055
11	204	16866
12	209	15897
13	213	15027
14	217	14280
15	224	13790
16	228	13224
17	232	12680
18	236	12223
19	241	11839
20	245	11453
21	249	11099
22	254	10808
23	258	10517
24	262	10219
25	266	9996
26	271	9788
27	275	9564
28	278	9324
29	281	9116
30	284	8896
31	286	8662
32	288	8443
33	290	8240
34	291	8043
35	293	7863
36	295	7680
37	296	7510
38	297	7342
39	299	7181
40	300	7028
41	301	6881
42	302	6737
43	303	6601
44	304	6469
45	306	6353
46	307	6242
47	308	6126
48	309	6014
49	312	5946
50	316	5897
51	320	5845
52	323	5786
53	326	5724
54	331	5693
55	335	5654
56	338	5606
57	342	5562
58	347	5538
59	350	5496
60	354	5450
61	361	5468
62	365	5430
63	367	5380
64	370	5325
65	372	5269
66	374	5212
67	376	5158
68	378	5106
69	380	5049
70	381	4990
71	382	4932
72	384	4877
73	385	4821
74	386	4766
75	387	4715
76	389	4665
77	390	4616
78	391	4566
79	392	4515
80	393	4465
81	394	4417
82	395	4366
83	396	4320
84	397	4274
85	397	4229
86	398	4185
87	399	4141
88	400	4099
89	401	4057
90	402	4019
91	403	3983
92	404	3945
93	405	3907
94	406	3870
95	407	3835
96	408	3799
97	409	3765
98	409	3730
99	410	3697
100	411	3664
101	412	3631
102	413	3599
103	414	3568
104	415	3540
105	416	3511
106	417	3482
107	418	3456
108	419	3429
109	420	3402
110	421	3374
111	422	3346
112	422	3319
113	423	3292
114	424	3266
115	425	3240
116	425	3214
117	426	3189
118	427	3164
119	428	3140
120	429	3116
121	429	3092
122	430	3070
123	431	3049
124	432	3027
125	433	3008
126	434	2985
127	435	2964
128	436	2943
129	436	2923
130	437	2902
131	438	2882
132	439	2862
133	440	2843
134	440	2824
135	441	2805
136	442	2787
137	443	2768
138	444	2750
139	444	2733
140	445	2716
141	446	2698
142	447	2683
143	448	2667
144	449	2651
145	450	2634
146	451	2618
147	452	2602
148	452	2586
149	453	2571
150	454	2555
151	455	2540
152	456	2525
153	457	2510
154	457	2496
155	458	2482
156	459	2468
157	460	2453
158	461	2440
159	462	2427
160	463	2413
161	464	2400
162	464	2387
163	465	2374
164	466	2361
165	467	2348
166	468	2335
167	469	2322
168	469	2310
169	470	2298
170	471	2286
171	472	2273
172	473	2262
173	474	2250
174	475	2239
175	475	2228
176	477	2218
177	478	2209
178	479	2198
179	480	2187
180	481	2176
181	481	2165
182	483	2157
183	484	2147
184	485	2137
185	486	2126
186	486	2116
187	487	2106
188	488	2096
189	489	2087
190	490	2077
191	491	2068
192	492	2060
193	493	2052
194	494	2043
195	495	2033
196	496	2024
197	497	2014
198	498	2006
199	499	1996
200	500	1987
201	500	1978
202	501	1969
203	502	1961
204	503	1952
205	504	1943
206	505	1935
207	506	1926
208	507	1919
209	508	1912
210	509	1904
211	510	1897
212	511	1889
213	512	1881
214	513	1873
215	514	1865
216	514	1857
217	515	1849
218	516	1841
219	517	1833
220	518	1826
221	518	1818
222	519	1810
223	520	1804
224	521	1797
225	523	1791
226	524	1784
227	525	1777
228	526	1771
229	526	1764
230	527	1756
231	528	1749
232	529	1743
233	530	1735
234	531	1729
235	532	1722
236	532	1715
237	533	1708
238	534	1701
239	535	1695
240	536	1689
241	537	1683
242	538	1677
243	539	1671
244	540	1664
245	541	1658
246	541	1651
247	542	1645
248	543	1638
249	544	1632
250	544	1626
251	545	1619
252	546	1613
253	547	1607
254	548	1601
255	548	1595
256	549	1589
257	550	1583
258	551	1578
259	552	1572
260	553	1567
261	554	1561
262	555	1555
263	555	1550
264	556	1544
265	557	1538
266	558	1532
267	559	1527
268	559	1521
269	560	1515
270	561	1510
271	562	1504
272	563	1499
273	563	1494
274	564	1489
275	566	1484
276	567	1480
277	568	1475
278	569	1470
279	570	1465
280	571	1461
281	571	1456
282	572	1451
283	573	1446
284	574	1441
285	575	1436
286	576	1431
287	576	1426
288	577	1421
289	578	1416
290	579	1411
291	580	1407
292	581	1403
293	582	1399
294	583	1394
295	584	1389
296	585	1384
297	585	1380
298	586	1375
299	587	1370
300	588	1366
301	589	1361
302	589	1357
303	590	1352
304	591	1348
305	592	1343
306	593	1339
307	594	1335
308	595	1331
309	596	1327
310	597	1323
311	598	1319
312	599	1314
313	599	1310
314	600	1306
315	601	1302
316	602	1297
317	603	1293
318	603	1289
319	604	1285
320	605	1280
321	606	1276
322	607	1272
323	607	1268
324	608	1264
325	609	1261
326	611	1257
327	612	1253
328	612	1250
329	613	1246
330	614	1242
331	615	1238
332	616	1234
333	617	1230
334	617	1226
335	618	1222
336	619	1218
337	620	1214
338	621	1211
339	621	1207
340	622	1203
341	623	1200
342	624	1196
343	626	1193
344	627	1190
345	627	1186
346	628	1183
347	629	1179
348	630	1175
349	631	1172
350	632	1168
351	632	1164
352	633	1161
353	634	1157
354	635	1153
355	635	1150
356	636	1146
357	637	1143
358	638	1140
359	640	1137
360	641	1134
361	641	1131
362	642	1127
363	643	1124
364	644	1121
365	645	1117
366	645	1114
367	646	1110
368	647	1107
369	648	1103
370	649	1100
371	650	1097
372	650	1094
373	651	1090
374	652	1087
375	653	1084
376	654	1081
377	655	1078
378	656	1075
379	657	1072
380	658	1069
381	658	1066
382	659	1062
383	660	1059
384	661	1056
385	662	1053
386	663	1050
387	664	1047
388	664	1044
389	665	1041
390	666	1038
391	667	1035
392	668	1032
393	669	1029
394	670	1026
395	671	1023
396	672	1020
397	672	1017
398	673	1014
399	674	1011
400	675	1008
401	676	1005
402	677	1002
403	677	1000
404	678	997
405	679	994
406	680	991
407	681	988
408	681	985
409	682	982
410	683	979
411	684	977
412	685	974
413	686	971
414	687	969
415	688	966
416	689	963
417	690	960
418	690	958
419	691	955
420	692	952
421	693	949
422	694	947
423	695	944
424	696	941
425	696	938
426	697	936
427	699	934
428	700	932
429	701	930
430	702	927
431	703	925
432	704	922
433	705	919
434	706	917
435	707	914
436	707	912
437	708	909
438	709	906
439	710	904
440	711	902
441	712	899
442	714	898
443	716	897
444	717	894
445	718	892
446	719	890
447	720	887
448	721	885
449	722	882
450	722	879
451	723	877
452	724	875
453	725	872
454	726	870
455	737	879
456	738	877
457	740	876
458	741	873
459	742	871
460	743	869
461	745	867
462	746	865
463	747	863
464	748	861
465	750	859
466	751	857
467	752	855
468	753	852
469	754	850
470	754	847
471	755	845
472	756	843
473	759	842
474	760	840
475	761	838
476	763	836
477	764	834
478	765	832
479	766	830
480	767	827
481	768	825
482	769	823
483	770	821
484	771	818
485	772	816
486	773	815
487	775	813
488	776	811
489	777	808
490	778	806
491	779	804
492	779	801
493	780	799
494	781	797
495	782	794
496	783	792
497	784	790
498	784	787
499	785	785
500	786	783
501	787	781
502	788	779
503	789	777
504	791	775
505	792	773
506	792	771
507	793	768
508	794	766
509	795	764
510	796	762
511	797	759
512	798	757
513	799	755
514	800	753
515	800	751
516	801	749
517	803	747
518	804	745
519	805	743
520	806	741
521	807	739
522	808	737
523	809	735
524	810	732
525	810	730
526	811	728
527	812	726
528	813	724
529	814	722
530	815	720
531	816	717
532	817	715
533	818	714
534	819	712
535	820	710
536	821	708
537	822	706
538	823	704
539	824	702
540	825	700
541	826	698
542	827	696
543	828	694
544	829	692
545	830	690
546	830	688
547	832	686
548	833	684
549	835	683
550	836	681
551	837	679
552	838	677
553	838	675
554	839	673
555	840	671
556	841	669
557	842	667
558	843	665
559	844	663
560	845	661
561	846	659
562	847	657
563	849	656
564	850	654
565	851	652
566	852	650
567	853	648
568	853	646
569	854	644
570	855	642
571	856	640
572	857	638
573	858	636
574	859	635
575	860	633
576	861	631
577	863	630
578	864	628
579	865	626
580	866	624
581	867	623
582	868	621
583	869	619
584	870	617
585	870	615
586	871	613
587	872	611
588	873	609
589	874	607
590	875	605
591	876	604
592	878	602
593	879	601
594	880	599
595	881	597
596	882	595
597	883	593
598	884	591
599	884	589
600	885	588
601	886	586
602	887	584
603	888	582
604	889	580
605	890	579
606	892	577
607	893	576
608	894	574
609	895	572
610	896	570
611	897	569
612	898	567
613	899	565
614	900	563
615	901	561
616	902	559
617	903	558
618	904	556
619	905	554
620	906	553
621	908	551
622	909	550
623	910	548
624	911	546
625	912	544
626	913	543
627	913	541
628	914	539
629	915	537
630	917	536
631	917	534
632	918	532
633	919	531
634	921	529
635	922	528
636	923	526
637	924	524
638	925	523
639	926	521
640	927	519
641	928	517
642	929	516
643	930	514
644	931	512
645	932	510
646	933	509
647	934	507
648	935	505
649	936	504
650	937	502
651	939	501
652	939	499
653	941	497
654	941	496
655	942	494
656	943	492
657	944	491
658	945	489
659	947	487
660	948	486
661	949	484
662	950	483
663	952	482
664	954	480
665	955	479
666	956	477
667	957	475
668	958	474
669	960	473
670	961	471
671	963	470
672	964	468
673	966	467
674	967	466
675	969	464
676	970	463
677	971	461
678	973	460
679	974	458
680	975	456
681	976	455
682	977	453
683	978	452
684	981	451
685	982	449
686	983	448
687	984	446
688	986	445
689	987	443
690	988	441
691	989	440
692	991	439
693	992	437
694	1009	443
695	1029	449
696	1031	448
697	1033	447
698	1035	445
699	1037	444
700	1045	445
701	1047	444
702	1066	450
703	1071	450
704	1078	451
705	1080	449
706	1081	448
707	1083	446
708	1085	445
709	1086	443
710	1087	442
711	1089	440
712	1092	439
713	1094	438
714	1110	442
715	1112	441
716	1114	439
717	1115	438
718	1117	436
719	1118	435
720	1120	433
721	1122	432
722	1123	430
723	1125	428
724	1126	427
725	1128	425
726	1129	424
727	1130	422
728	1131	420
729	1133	419
730	1135	417
731	1136	416
732	1138	414
733	1139	413
734	1141	411
735	1142	409
736	1143	408
737	1144	406
738	1145	404
739	1146	402
740	1149	401
741	1150	400
742	1151	398
743	1153	396
744	1154	395
745	1155	393
746	1156	391
747	1157	390
748	1158	388
749	1159	386
750	1160	384
751	1162	383
752	1163	381
753	1164	380
754	1166	378
755	1167	376
756	1169	375
757	1170	373
758	1171	371
759	1172	370
760	1173	368
761	1174	366
762	1175	365
763	1176	363
764	1177	361
765	1179	360
766	1181	358
767	1182	357
768	1183	355
769	1184	353
770	1185	352
771	1186	350
772	1187	348
773	1188	347
774	1189	345
775	1190	343
776	1191	341
